gene_symbol,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000019549,FALSE,SNAI2,NCBITaxon:9606,gene
ENSG00000019582,FALSE,CD74,NCBITaxon:9606,gene
ENSG00000019991,FALSE,HGF,NCBITaxon:9606,gene
ENSG00000019995,FALSE,ZRANB1,NCBITaxon:9606,gene
ENSG00000020129,FALSE,NCDN,NCBITaxon:9606,gene
ENSG00000020181,FALSE,ADGRA2,NCBITaxon:9606,gene
ENSG00000020256,FALSE,ZFP64,NCBITaxon:9606,gene
ENSG00000020426,FALSE,MNAT1,NCBITaxon:9606,gene
ENSG00000020577,FALSE,SAMD4A,NCBITaxon:9606,gene
ENSG00000020633,FALSE,RUNX3,NCBITaxon:9606,gene
ENSG00000020922,FALSE,MRE11,NCBITaxon:9606,gene
ENSG00000021300,FALSE,PLEKHB1,NCBITaxon:9606,gene
ENSG00000021355,FALSE,SERPINB1,NCBITaxon:9606,gene
ENSG00000021461,FALSE,CYP3A43,NCBITaxon:9606,gene
ENSG00000021488,FALSE,SLC7A9,NCBITaxon:9606,gene
ENSG00000021574,FALSE,SPAST,NCBITaxon:9606,gene
ENSG00000021645,FALSE,NRXN3,NCBITaxon:9606,gene
ENSG00000021762,FALSE,OSBPL5,NCBITaxon:9606,gene
ENSG00000021776,FALSE,AQR,NCBITaxon:9606,gene
